Name,MuOpt,MinFrequencyHz,MaxFrequencyHz,Reason,Alternatives,BmaxT,MaterialType,Manufacturer,DatasheetUrl
High Flux 14,14.0,0.0,1000000.0,"powder material, family High Flux (source: Magnetics)",None,1.5,powder,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 19,19.0,0.0,1000000.0,"powder material, family High Flux (source: Magnetics)",None,1.5,powder,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 26,26.0,0.0,1000000.0,"powder material, family High Flux (source: Magnetics)",None,1.5,powder,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 40,40.0,0.0,1000000.0,"powder material, family High Flux (source: Magnetics)",None,1.5,powder,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 75,75.0,0.0,1000000.0,"powder material, family High Flux (source: Magnetics)",None,1.5,powder,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 90,90.0,0.0,1000000.0,"powder material, family High Flux (source: Magnetics)",None,1.5,powder,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 125,125.0,0.0,1000000.0,"powder material, family High Flux (source: Magnetics)",None,1.5,powder,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 147,147.0,0.0,1000000.0,"powder material, family High Flux (source: Magnetics)",None,1.5,powder,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 160,160.0,0.0,1000000.0,"powder material, family High Flux (source: Magnetics)",None,1.5,powder,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
Kool Mµ 19,19.0,0.0,2000000.0,"powder material, family Kool Mµ (source: Magnetics)",None,1.0,powder,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-Cores/Kool-Mu-Material-Curves
Kool Mµ 75,75.0,0.0,2000000.0,"powder material, family Kool Mµ (source: Magnetics)",None,1.0,powder,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-Cores/Kool-Mu-Material-Curves
Kool Mµ 125,125.0,0.0,2000000.0,"powder material, family Kool Mµ (source: Magnetics)",None,1.0,powder,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-Cores/Kool-Mu-Material-Curves
